关键词,页码,序号,书名,score
老年人 书,1,18,【官方正版】现货 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病书籍 社 女性身体的秘密 北京协和医院妇产,43.333333333333336
老年人 书,1,19,老年人，吃得对才能活得好.老年人膳食营养营养误区老年朋友延年益寿,40.0
老年人 书,1,20,正版 免疫力战胜病毒的生活方式 提高增强中老年女性儿童抵抗力书籍 免疫力菜谱食谱 增强免疫力怎么做饮食营养与健康保健,36.66666666666667
老年人 书,1,21,老年人精神生活健康指南（第3版）,33.333333333333336
老年人 书,1,22,老年人急救手册（大字 插图 超值版）,30.000000000000004
老年人 书,1,23,【官方正版】现货 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病书籍 社 更好更年期 北京协和医院妇产科主,26.66666666666667
老年人 书,1,24,中老年人身体功能训练指南（第2版）(人邮体育出品),23.33333333333333
老年人 书,1,25,老人与海 带插图 名家翻译 诺贝尔奖得主 海明威 代表作 中小学生阅读指导目录推荐 儿童文学 世界名著,19.999999999999996
老年人 书,1,26,老年人四季养生（上海市老年教育推荐用）,16.666666666666664
老年人 书,1,27,图解八段锦五禽戏六字诀易经筋最传统的养生术 68节医疗保健操适合中老年人健身养生养身书籍传统的养生术强身健体零基础入门书籍 图解八段锦五,13.33333333333333
老年人 书,1,28,老年人心理服务与关怀(老年人心理工作怎么做),9.999999999999998
老年人 书,1,29,老年健康秘籍 关怀 长寿 健康 疾病 养老 大字大图,6.666666666666665
老年人 书,1,30,老年人能力评估师 等级认定培训教材套装（基础+三二一级）共2册,3.3333333333333326
老年人 书,2,1,中老年人免疫力提升指导,85.0
老年人 书,2,2,送给爸妈的健康书+老有所养-中老年人日常生活保健 更年期饮食中医调养法,82.16666666666667
老年人 书,2,3,更好更年期 陈蓉 家庭伦理 女性适应更年期 女性地位 女性身体健康 老龄化社会问题 医学科普 女性,79.33333333333333
老年人 书,2,4,"学会照顾,让父母的晚年更幸福 陈乃菁著 护理书籍 养老照顾老人照顾父母居家照顾照顾患有老年痴呆症的父母 照顾籍",76.5
老年人 书,2,5,中老年人必知的365个养生法：大字插图超值版,73.66666666666667
老年人 书,2,6,【当当正版】终结阿尔茨海默病--全球首套防止与逆转老人痴呆的个性化程序 戴尔·E.布来得森 樊登读书会推荐 【2册】终结阿尔茨海默病+实操手册,70.83333333333334
老年人 书,2,7,成人心血管疾病基因筛查,68.0
老年人 书,2,8,他们从未忘记你：为阿尔茨海默病老人制造欢乐时光,65.16666666666666
老年人 书,2,9,老年人膳食原则和常见营养问题（下）,62.333333333333336
老年人 书,2,10,老年人居家科学健身方法指导(人邮体育出品),59.49999999999999
老年人 书,2,11,老年照护图解丛书：老年养心趣谈,56.66666666666667
老年人 书,2,12,世上的果子，世上的人 65岁识字画画，人生随时都能精彩，记忆植物和故人，有趣的老人生命灿然,53.83333333333333
老年人 书,2,13,日渐衰老意味着什么,51.0
老年人 书,2,14,古刻新韵(典藏9种共10册)(精),48.166666666666664
老年人 书,2,15,相约老年健康科普丛书——老年人运动健康一本通,45.333333333333336
老年人 书,2,16,老年人养生这样吃很好 超值版,42.5
老年人 书,2,17,今古奇观【全5册套装版】港台原版 抱瓮老人 好读出版 中国古典文学小说,39.666666666666664
老年人 书,2,18,【新华书店正版书籍】中老年人这样用药 养生/保健 生理健康图书,36.833333333333336
老年人 书,2,19,老年人居家锻炼计划视频版9787521424836+精神生活健康指南必读书籍养生书籍中国医药科技出版社 2本套居家锻炼计划,34.0
老年人 书,2,20,中国营养学会编著婴幼学龄儿童少年成人饮食营养减肥食谱食疗书籍公共注册营养师考试教材 中国居民膳食,31.166666666666668
老年人 书,2,21,【当当正版包邮】暮色将尽 戴安娜 阿西尔著 科斯塔传记奖得主 89岁独身女性 诙谐坦荡的老年生活随笔 文学传记回忆录,28.333333333333336
老年人 书,2,22,【官方旗舰店】老人与海 海明威 著，张爱玲 译,25.500000000000004
老年人 书,2,23,毛主席\\\\x26lt语录版\\\\x26gt旧书正版真品原版送长辈老人礼物收藏怀旧老物件,22.66666666666667
老年人 书,2,24,【当当 正版】终结阿尔茨海默病--全球首套防止与逆转老人痴呆的个性化程序 戴尔·E.布来得森 樊登读书会推荐,19.83333333333333
老年人 书,2,25,【三册】生活保健高血压高血脂糖尿病中医食养方食疗养生书籍大全中医中老年人预防糖尿病治疗高血脂高血压食补药膳学营养食谱实用 全3册 食疗,16.999999999999996
老年人 书,2,26,全3册 食养食补食疗大全书+食到病除+四季养生正版中医家庭药膳书籍健康饮食养生营养学食谱一日三餐简单菜谱百病食疗 谱百病食疗,14.166666666666664
老年人 书,2,27,【京仓自营明日达】中老年人必知的365个养生法（大字插图超值版）,11.33333333333333
老年人 书,2,28,精装老年食养食补食疗大全书正版中医家庭药膳书籍健康饮食养生营养学食谱一日三餐简单术后营养汤菜谱百病食疗 谱百病食疗,8.499999999999998
老年人 书,2,29,你好呀，更年期 关于更年期你需要知道的一切 四川科学技术出版社 养生保健中老年健康 新华正版书籍 女性健康 更年期健康全指南 医学科普 后浪,5.666666666666665
老年人 书,2,30,正版 中国绝学【9】紫微郎 恭鉴老人等 著 金陵,2.8333333333333326
老年人 书,3,1,老年营养与认知功能维护——科学证据评价,72.24999999999999
老年人 书,3,2,关爱爸妈的健康书（全2册）送给爸妈的健康 更年期饮食中医调养法+老有所养 中老年人日常生活保健,69.84166666666665
老年人 书,3,3,送给爸妈的健康书+老有所养：中老年人日常生活保健（全2册）中老年人日常生活保健享受健康人生,67.43333333333332
老年人 书,3,4,老人与海 梁文道推荐译本 朗读者推荐 李继宏倾心翻译,65.02499999999999
老年人 书,3,5,中老年人必知的365个养生法 保养356个小知识养生法,62.61666666666666
老年人 书,3,6,巴金散文精选 中考热点作家 名家散文典藏彩插版 世纪老人巴金用至真的文字还原一位大家的风骨 收入《鸟的天堂》《怀念萧珊》《繁星》等名篇,60.20833333333332
老年人 书,3,7,人体经络穴位使用全书 中医养生 推拿按摩技法手法大全 快速找穴位 儿童中老年人男女性健康手册经络疗法,57.79999999999999
老年人 书,3,8,中老年养生保健百问,55.39166666666665
老年人 书,3,9,脑卒中患者的健康管理任海燕中老年人常见病脑卒中诊疗护理参考饮食调养运动康复指南 脑梗死中风溢血脑出血治疗 保健养生 H,52.98333333333333
老年人 书,3,10,中老年常见病防治策略,50.57499999999999
老年人 书,3,11,【大字版】中老年人最爱的歌新歌+老歌大全集简谱歌曲 流行歌曲简谱 歌谱歌本歌词 经典老红歌歌曲大全集 音乐书籍歌曲大全,48.166666666666664
老年人 书,3,12,2025中国地图集(大字版)老年人适用 中国地图册了解研究我国基本国情、省情和国家地理知识实用,45.75833333333332
老年人 书,3,13,中老年人身体功能训练指南 第2版 中老年人健身功能性训练健身书籍,43.34999999999999
老年人 书,3,14,老年人饮食营养一本通-301医院营养专家,40.941666666666656
老年人 书,3,15,老年人精神生活健康指南 第3版,38.533333333333324
老年人 书,3,16,老老恒言,36.12499999999999
老年人 书,3,17,中老年人必知的365个养生法：大字插图值版,33.71666666666666
老年人 书,3,18,老年人居家锻炼计划（视频版）中国医药科技出版社,31.30833333333333
老年人 书,3,19,健脑不见老,28.899999999999995
老年人 书,3,20,老年人饮食营养一本通,26.491666666666664
老年人 书,3,21,老年护肺宝典,24.083333333333332
老年人 书,3,22,老年糖友俱乐部,21.675
老年人 书,3,23,老人与海 精装网格本 人民文学出版社 外国文学名著丛书 海明威经典著作 高中语文推荐阅读书籍,19.266666666666666
老年人 书,3,24,面诊大全 中医诊断入门书 中老年人女男性按摩察言观色知健康 健康调理书籍,16.858333333333327
老年人 书,3,25,【新华书店全新正版】女性身体的秘密：更年期健康与幸福全书 克里斯蒂安·诺斯鲁普 著 中信出版,14.449999999999994
老年人 书,3,26,自在余生——人生尾程面面观 中国新老退休新生活 燕秦,12.04166666666666
老年人 书,3,27,他们从未忘记你：为阿尔茨海默病老人制造欢乐时光阅读狂欢节,9.63333333333333
老年人 书,3,28,预防老年人跌倒健康教育教程（工作人员用）（配增值）人民卫生出版社,7.224999999999997
老年人 书,3,29,老年人营养膳食指导,4.816666666666665
老年人 书,3,30,不听老人言 不光吃亏在眼前 你一辈子都要听的老话 为人处世励志心灵修养人生智慧传世箴言中国文化老话 名言 不听老人言（新版）,2.4083333333333323
老年人 书,4,1,【全新正版/京东自营】更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备书籍,61.412499999999994
老年人 书,4,2,不生病的智慧马悦凌著气血养生真法中老年人家庭保健知识书籍 不生病的智慧马....,59.36541666666666
老年人 书,4,3,小动作大健康适合老人看的书只有医生知道的营养学告诉您得了糖尿病就该这么吃让糖尿病患者吃好每天3顿饭 家常菜里的降血糖小偏方,57.31833333333333
老年人 书,4,4,天海音【外贸出口]新款中老年人电吹管乐器大全萨克斯电子吹管笛子初学 【新款亮黑色】标配+教程曲谱,55.271249999999995
老年人 书,4,5,洁古老人注王叔和脉诀（校点本）,53.22416666666666
老年人 书,4,6,【正版微瑕品】社区老年人认知障碍诊断与干预 李霞 编,51.17708333333333
老年人 书,4,7,【自营包邮京仓直发】缓解肩部疼痛 这么练就对了 中老年大图大字版（人邮体育出品）,49.129999999999995
老年人 书,4,8,精装老年食养食补食疗大全书正版中医家庭药膳书籍健康饮食养生营养学食谱一日三餐简单术后营养汤菜谱百病食疗 谱百病食疗,47.082916666666655
老年人 书,4,9,301医院营养专家--老年人饮食营养一本通 营养一本通 营养一本通,45.035833333333336
老年人 书,4,10,【京东物流包邮+次日达】中老年人健康呵护指南(高血压糖尿病认知障碍居家照护问答),42.988749999999996
老年人 书,4,11,【京东物流包邮+次日达】食物寒凉温热属性功效速查手册 正版图书 养生保健 养生食疗 食物养生 饮食关注 中老年人饮食养生健康,40.94166666666667
老年人 书,4,12,协和医院专家 糖尿病饮食调养一本就够 不饿不晕防并发症 陈伟 中老年人降血糖家庭用药宜忌糖尿病食疗食谱糖尿病患者康复书籍 2册 糖尿病饮食调,38.89458333333333
老年人 书,4,13,协和医院专家 糖尿病饮食调养一本就够 不饿不晕防并发症 陈伟 中老年人降血糖家庭用药宜忌糖尿病食疗食谱糖尿病患者康复书籍 3册 糖尿病+高血压,36.8475
老年人 书,4,14,【京东物流包邮+次日达】 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备书籍,34.80041666666666
老年人 书,4,15,纯印 史纯印老人一生开示录 32开简体横排,32.75333333333333
老年人 书,4,16,天海音外贸出口]新款中老年人电吹管乐器大全萨克斯电子吹管笛子初学者 【新款亮黑色】标配+教程曲谱,30.706249999999997
老年人 书,4,17,正版旧书 养生重在养心,28.659166666666664
老年人 书,4,18,老年人健康膳食指导 图书,26.61208333333333
老年人 书,4,19,正版包邮90后2000年代彩色课本九年义务教育老人教版教科书小学语文版 全套十二本,24.564999999999998
老年人 书,4,20,正版 无删减增删卜易卜筮正宗孙正治注译正版 野鹤老人 白话精译,22.517916666666668
老年人 书,4,21,誉国威可看小说电子书自动浏览无摄像头工厂保密老人学生按键手机全网通 紫色 4G全网通 【标配+32G内存卡+千部小说+音乐,20.470833333333335
老年人 书,4,22,悲惨世界书正版雨果精译李玉民全译本完整版世界十大名著老人与海 全10册悲惨世界2册+大卫.科波菲,18.423750000000002
老年人 书,4,23,正版速发 超越百岁看这本就够了 深入发觉健康潜力横跨百年长寿人生简单的处方使用高效中医养生书籍 饮食相宜表,16.37666666666667
老年人 书,4,24,正版包邮 更好的初老人生 畅销书《被讨厌的勇气》作者 日本阿德勒心理学研究领军者 岸见一郎提出“退休后的幸福人生哲学 C 湛庐书籍,14.329583333333328
老年人 书,4,25,X-IT小度智能屏8C（养老保险版）,12.282499999999995
老年人 书,4,26,抗衰阻击肌肉衰减症肌少症抗衰肌肉衰减增肌减脂塑形腰酸背痛抗阻肌北京协和医院于康教授教你多维度增肌抗衰中老年人久坐 图书,10.235416666666664
老年人 书,4,27,单本任选 妇产科护理学第7版配增值十四五本科护理教材 内科外科妇产科儿科基础健康助产中医老年本科护理学 人民卫生出版社 成人护理学（上下,8.18833333333333
老年人 书,4,28,301医院营养专家 抗癌防癌饮食一本通 癌症饮食 营养科医生给关注健康人士及癌症患者日常饮食和营养中老年人,6.141249999999998
老年人 书,4,29,让父母身体安康儿女放心的饮食调养书·一家人的小食方丛书 余瀛鳌 著 中国中医药出版社,4.094166666666665
老年人 书,4,30,尼尔斯骑鹅旅行记 老人与海 可爱的中国 汤姆索亚历险记 整本分级大阅读课程丛书 赠新阅读手册 六年级下册 六年级2025春季4本套装,2.0470833333333327
老年人 书,5,1,治未病安享美好的晚年：老年人群未病防治/中医治未病指导丛书,52.20062499999999
老年人 书,5,2,中医养生珍本集萃：老老恒言（套装共2册）,50.460604166666656
老年人 书,5,3,当你老了：老年人行为说明书,48.72058333333332
老年人 书,5,4,农村中老年女性健康研究/人口发展战略丛书,46.98056249999999
老年人 书,5,5,防跌倒，己康健，家心安·预防老年人跌倒,45.24054166666666
老年人 书,5,6,老年休闲活动规划与执行,43.500520833333326
老年人 书,5,7,老年及特殊人群健康运动处方,41.76049999999999
老年人 书,5,8,藏园老人手稿（全16册）2箱一套,40.020479166666654
老年人 书,5,9,老年健康手册,38.28045833333333
老年人 书,5,10,互利与共赢--中国老年人体育健康促进的协同治理,36.54043749999999
老年人 书,5,11,老年人合理用药（上海市老年教育普及教材）,34.80041666666666
老年人 书,5,12,基于女性主义视角的老年照顾：探讨与争议,33.060395833333324
老年人 书,5,13,今古奇观（汉俄对照，节选）（全四册）,31.32037499999999
老年人 书,5,14,健康宝典（让自己更年轻）,29.58035416666666
老年人 书,5,15,老人与海,27.840333333333326
老年人 书,5,16,老人与海：立体书典藏版,26.100312499999994
老年人 书,5,17,独居颐养天年,24.36029166666666
老年人 书,5,18,中国城市老年住房研究/银龄时代·中国老龄社会研究系列丛书,22.62027083333333
老年人 书,5,19,暖暖的姜黄（儿童眼里的老人，老人心里的孩子。一老一少一条狗，身后是美丽的村庄和繁华的城市。）,20.880249999999997
老年人 书,5,20,颐养有道享平安：风险管控智慧（国民金融教育之中老年五德财商智慧丛书）,19.140229166666664
老年人 书,5,21,财德仁心永流传：财富传承智慧（国民金融教育之中老年五德财商智慧丛书）,17.40020833333333
老年人 书,5,22,四大名著全套（大字注释版全本无删减共16册）学生老人阅读 西游记三国演义水浒传红楼梦,15.6601875
老年人 书,5,23,中国老年健康生物标志物研究,13.920166666666667
老年人 书,5,24,中医助你过百寿--老年人家庭中医护理/全民大健康家庭中医护理攻略,12.180145833333327
老年人 书,5,25,养老机构实用菜谱,10.440124999999995
老年人 书,5,26,妇幼健康知识科普丛书——中老年女性健康指导手册,8.700104166666662
老年人 书,5,27,贫困与城乡老年人心理健康(社会支持的调节作用研究),6.96008333333333
老年人 书,5,28,苏州市老年人健康素养：基本知识、技能及释义,5.220062499999997
老年人 书,5,29,老年人健康用对药：老年人用药必知,3.480041666666665
老年人 书,5,30,后浪插图珍藏版·小说名著（套装共12册） 红与黑+远大前程+傲慢与偏见+老人与海+月亮与六便士+巴黎圣母院+查第格+老实人+高龙巴+卡门+漂亮朋友+一生,1.7400208333333325
老年人 书籍,1,1,更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备 中信出版社 阅读狂欢节,100.0
老年人 书籍,1,2,吃土：强健肠道、提升免疫系统 肠子的小心思吃出自愈力救命饮食疗减肥慢性疲劳关节甲状腺病身体由我成人儿童孕妇中老年人营养学抗炎保健养生,96.66666666666667
老年人 书籍,1,3,中老年食疗养生一本全 保健饮食养生菜谱食品大全 养生大系养生大全食谱调理 食疗营养健康百科全书 中老年食疗养生一本全,93.33333333333333
老年人 书籍,1,4,自营 女性身体的秘密：更年期健康与幸福全书 克里斯蒂安·诺斯鲁普著 著名妇产科专家 更年期的智慧 回归自我 中年 职业觉醒 更年期 女性健康 保,90.0
老年人 书籍,1,5,中老年人必知的365个养生法（大字插图超值版） 阅读狂欢节,86.66666666666667
老年人 书籍,1,6,【官方正版】现货 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备 社 女性身体的秘密,83.33333333333334
老年人 书籍,1,7,老老恒言 三全本精装无删减中华书局中华经典名著全本全注全译,80.0
老年人 书籍,1,8,中老年营养百科 近500页的饮食营养内容 更年期综合征、高血糖、高血脂、高血压等5大类中老年健康问题指导 200多种日常食物营养价值详解 助力中老,76.66666666666666
老年人 书籍,1,9,营养治病养生大系中老年人食物营养学健康养生保健食谱四季养生日常疾病预防养生知识家庭营养健康保健养生书 养生大系营养治病.,73.33333333333334
老年人 书籍,1,10,来吧更年期 更年期健康生活指南 更好更年期 女性身体的秘密 更年期 雌激素 脑科学 神经科学 中信出版社 阅读狂欢节,70.0
老年人 书籍,1,11,全20册世界二十大名著全套正版原著瓦尔登湖童年钢铁是怎样炼成的简爱海底两万里汤姆索亚历险记老人与海鲁滨逊漂流记世界名著青少年中课外读物,66.66666666666667
老年人 书籍,1,12,老年人怎样才能更长寿（生活养生） 阅读狂欢节,63.33333333333333
老年人 书籍,1,13,301医院营养专家--老年人饮食营养一本通 阅读狂欢节,60.0
老年人 书籍,1,14,2024专业版人卫中国营养学会妇幼营养分会编孕妇婴幼儿儿童少年老年素食人群医学公共注册营养师考试教材人民卫生出版社,56.666666666666664
老年人 书籍,1,15,【赠书签】老人与海 作家榜 中国现当代文学小说世界名著 学生课外阅读新华书店旗舰店正版,53.333333333333336
老年人 书籍,1,16,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外读物 英文中英双语版英语双语读物英语小说 可选套餐：童话故事 短篇小说,50.0
老年人 书籍,1,17,儿童青少年男性女性老年人居民饮食营养食谱 科学减肥食谱养生之道四季饮食指南 中国民间菜谱 中国居民膳食指南大全 官方正版,46.666666666666664
老年人 书籍,1,18,包邮 更好更年期 女性身体的秘密 陈蓉24年临床经验总结 中老年女性 更年期健康与幸福全书 中信书店,43.333333333333336
老年人 书籍,1,19,老人与海 青少版,40.0
老年人 书籍,1,20,【正版】战胜病毒的生活方式 提高增强中老年女性儿童抵抗力菜谱食谱书饮食营养与健康饮食营养食疗健康,36.66666666666667
老年人 书籍,1,21,2025最新三力测试题库书 三力测试题220题库答换证必备 下单就送永久版手机模拟考试软件 纸质版题库+视频解析课程,33.333333333333336
老年人 书籍,1,22,全11册｜英文版原版小说 小王子书老人与海动物庄园欧亨利傲慢与偏见月亮与六便士了不起的盖茨比假如给我三天光明爱丽丝漫游鲁滨逊漂流记瓦尔,30.000000000000004
老年人 书籍,1,23,全国老年大学统编教材 老年人八段锦教程（人邮体育出品） 阅读狂欢节,26.66666666666667
老年人 书籍,1,24,养生防病书籍 社 女性身体的秘密 北京协和医院妇产科主任医师陈蓉 24年临床经验总结,23.33333333333333
老年人 书籍,1,25,老年人，吃得对才能活得好.老年人膳食营养营养误区老年朋友延年益寿,19.999999999999996
老年人 书籍,1,26,正版 免疫力战胜病毒的生活方式 提高增强中老年女性儿童抵抗力 免疫力菜谱食谱书 增强免疫力怎么做饮食营养与健康保健书,16.666666666666664
老年人 书籍,1,27,老年人精神生活健康指南（第3版）,13.33333333333333
老年人 书籍,1,28,老年人急救手册（大字 插图 超值版）,9.999999999999998
老年人 书籍,1,29,养生防病书籍 社 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结,6.666666666666665
老年人 书籍,1,30,中老年人身体功能训练指南（第2版）(人邮体育出品),3.3333333333333326
老年人 书籍,2,1,【新华书店 送货上门】经典老歌400首 歌曲简谱书 大字版方便阅读 中外影视歌曲红歌汇通俗民歌 中老年人喜爱的歌谱书 怀旧音乐流行老歌曲谱歌本,85.0
老年人 书籍,2,2,张爱玲全集 倾城之恋 红玫瑰与白玫瑰 怨女 半生缘 小团圆 流言 华丽缘 重访边城 红楼梦 海上花开 海上花落 六月新娘 一曲难忘 老人与海 爱默森选,82.16666666666667
老年人 书籍,2,3,301医院营养专家--老年人饮食营养一本通,79.33333333333333
老年人 书籍,2,4,免疫力战胜病毒的生活方式 提高增强中老年女性儿童抵抗力免疫力菜谱食谱增强免疫力饮食营养与健康保健 免疫力：战胜病毒的生活方式,76.5
老年人 书籍,2,5,养生保健食疗生活习惯孩子老人中医磨铁图书正版 【抖音同款】真希望全家不生病,73.66666666666667
老年人 书籍,2,6,【当当正版】终结阿尔茨海默病--全球首套防止与逆转老人痴呆的个性化程序 戴尔·E.布来得森 樊登读书会推荐 【2册】终结阿尔茨海默病+实操手册,70.83333333333334
老年人 书籍,2,7,老年人的膳食原则和常见营养问题（上）,68.0
老年人 书籍,2,8,快乐老人健康枕边书,65.16666666666666
老年人 书籍,2,9,中老年食疗养生一本全,62.333333333333336
老年人 书籍,2,10,老年人营养365（修订版）,59.49999999999999
老年人 书籍,2,11,中老年养生药膳大全,56.66666666666667
老年人 书籍,2,12,中老年人免疫力提升指导,53.83333333333333
老年人 书籍,2,13,送给爸妈的健康书+老有所养-中老年人日常生活保健 更年期饮食中医调养法,51.0
老年人 书籍,2,14,阿尔茨海默病自我管理全书 国际失智症亲身示范革命性的预防逆转方案 医学大众科普 后浪正版,48.166666666666664
老年人 书籍,2,15,更好更年期 陈蓉 家庭伦理 女性适应更年期 女性地位 女性身体健康 老龄化社会问题 医学科普书 女性,45.333333333333336
老年人 书籍,2,16,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外读物 英文中英双语版英语双语读物英语小说 可选套餐：童话故事 短篇小说,42.5
老年人 书籍,2,17,"学会照顾,让父母的晚年更幸福 陈乃菁著 护理 养老照顾老人照顾父母居家照顾照顾患有老年痴呆症的父母 照顾",39.666666666666664
老年人 书籍,2,18,成人心血管疾病基因筛查,36.833333333333336
老年人 书籍,2,19,他们从未忘记你：为阿尔茨海默病老人制造欢乐时光,34.0
老年人 书籍,2,20,老年人膳食原则和常见营养问题（下）,31.166666666666668
老年人 书籍,2,21,老年人居家科学健身方法指导(人邮体育出品),28.333333333333336
老年人 书籍,2,22,国民营养科普丛书·老年人营养膳食指导,25.500000000000004
老年人 书籍,2,23,老年照护图解丛书：老年养心趣谈,22.66666666666667
老年人 书籍,2,24,世上的果子，世上的人 65岁识字画画，人生随时都能精彩，记忆植物和故人，有趣的老人生命灿然,19.83333333333333
老年人 书籍,2,25,日渐衰老意味着什么,16.999999999999996
老年人 书籍,2,26,古刻新韵(典藏9种共10册)(精),14.166666666666664
老年人 书籍,2,27,相约老年健康科普丛书——老年人运动健康一本通,11.33333333333333
老年人 书籍,2,28,老年人养生这样吃很好 超值版,8.499999999999998
老年人 书籍,2,29,今古奇观【全5册套装版】港台原版 抱瓮老人 好读出版 中国古典文学小说,5.666666666666665
老年人 书籍,2,30,【新华书店正版书籍】中老年人这样用药 养生/保健 生理健康图书,2.8333333333333326
老年人 书籍,3,1,敖医生讲骨质疏松——老年脊柱骨折和髋部骨折的治疗,72.24999999999999
老年人 书籍,3,2,父母少生病，儿女更安心——老年人疫苗接种,69.84166666666665
老年人 书籍,3,3,50岁开始的“你好人生” 好好保护自己（安全贴士 友好大字版，写给的安全之书）,67.43333333333332
老年人 书籍,3,4,失智与痴呆老人家庭照护手册 畅销超过40年的经典力作再升级 每一个患者家庭都应该掌握的温,65.02499999999999
老年人 书籍,3,5,人生中介有限公司：冲击人心的现实寓言！悬疑品牌“惊人院”S级作者武士零震撼新书！ 小说,62.61666666666666
老年人 书籍,3,6,老年髋部转子间骨折（第二版）,60.20833333333332
老年人 书籍,3,7,老年人养生，这样吃更好,57.79999999999999
老年人 书籍,3,8,居家养老医疗护理服务指南,55.39166666666665
老年人 书籍,3,9,促进健康，怡享老年,52.98333333333333
老年人 书籍,3,10,老年人口腔健康100问,50.57499999999999
老年人 书籍,3,11,老年人安全与合理用药管理手册,48.166666666666664
老年人 书籍,3,12,老人漂泊社会 NHK特别节目录制组 译文纪实 文学,45.75833333333332
老年人 书籍,3,13,老年人运动安全教程（人邮体育出品）,43.34999999999999
老年人 书籍,3,14,老人如何食养——舌尖上的长寿健康指南,40.941666666666656
老年人 书籍,3,15,对症按摩养疗全书 正版图书 养生保健 家庭保健理疗 中医按摩疗法 中老年人按摩 儿童按摩 家用推拿按摩,38.533333333333324
老年人 书籍,3,16,中国土单方+百病食疗全2册 中医养生家庭食疗食谱营养健康百科保健饮食菜谱中老年养生食疗养生,36.12499999999999
老年人 书籍,3,17,老年营养与认知功能维护——科学证据评价,33.71666666666666
老年人 书籍,3,18,关爱爸妈的健康书（全2册）送给爸妈的健康书 更年期饮食中医调养法+老有所养 中老年人日常生活保健,31.30833333333333
老年人 书籍,3,19,送给爸妈的健康书+老有所养：中老年人日常生活保健（全2册）中老年人日常生活保健享受健康人生,28.899999999999995
老年人 书籍,3,20,老人与海 梁文道推荐译本 朗读者推荐 李继宏倾心翻译,26.491666666666664
老年人 书籍,3,21,中老年人必知的365个养生法 保养356个小知识养生法,24.083333333333332
老年人 书籍,3,22,巴金散文精选 中考热点作家 名家散文典藏彩插版 世纪老人巴金用至真的文字还原一位大家的风骨 收入《鸟的天堂》《怀念萧珊》《繁星》等名篇,21.675
